participant,group,condition,method,taskNr,size1,size2,estimateConstant-Sum,estimateRatio-Percentage,time,code
9,1,sphere-slider,constantSum,1,1.2,5.0,78,29,7.997,KR
9,1,sphere-slider,constantSum,2,1.8,4.0,70,43,7.197,EB
9,1,sphere-slider,constantSum,3,1.8,3.0,63,59,7.946,EP
9,1,sphere-slider,constantSum,4,5.0,7.0,61,64,9.257,RM
9,1,sphere-slider,constantSum,5,1.8,2.5,57,76,6.117,EG
9,1,sphere-slider,constantSum,6,1.2,7.0,100,0,6.264,KM
9,1,sphere-slider,constantSum,7,1.8,7.0,86,17,7.846,EM
9,1,sphere-slider,constantSum,8,4.0,6.0,72,39,6.979,BW
9,1,sphere-slider,constantSum,9,1.2,4.0,88,14,6.478,KB
9,1,sphere-slider,constantSum,10,4.0,5.0,64,57,3.847,BR
9,1,sphere-slider,constantSum,11,1.2,2.5,74,36,5.380,KG
9,1,sphere-slider,constantSum,12,2.5,6.0,81,24,73.769,GW
9,1,sphere-slider,constantSum,13,5.0,6.0,63,59,4.747,RW
9,1,sphere-slider,constantSum,14,1.2,1.8,72,39,6.346,KE
9,1,sphere-slider,constantSum,15,3.0,5.0,76,32,6.513,PR
9,1,sphere-slider,constantSum,16,1.2,6.0,97,4,4.847,KW
9,1,sphere-slider,constantSum,17,2.5,4.0,73,37,4.663,GB
9,1,sphere-slider,constantSum,18,3.0,4.0,65,54,5.713,PB
9,1,sphere-slider,constantSum,19,2.5,3.0,62,62,5.147,GP
9,1,sphere-slider,constantSum,20,3.0,7.0,85,18,4.747,PM
9,1,sphere-slider,constantSum,21,1.2,3.0,87,15,7.155,KP
9,1,sphere-slider,constantSum,22,2.5,7.0,88,14,5.364,GM
9,1,sphere-slider,constantSum,23,4.0,7.0,78,29,4.430,BM
9,1,sphere-slider,constantSum,24,6.0,7.0,66,52,5.963,WM
9,1,sphere-slider,constantSum,25,1.8,5.0,88,14,8.863,ER
9,1,sphere-slider,constantSum,26,1.8,6.0,91,10,6.830,EW
9,1,sphere-slider,constantSum,27,2.5,5.0,78,29,6.464,GR
9,1,sphere-slider,constantSum,28,3.0,6.0,82,22,6.396,PW
9,1,bar-slider,constantSum,1,3.0,7.0,80,25,4.981,SQ
9,1,bar-slider,constantSum,2,1.0,11.0,96,5,3.880,HX
9,1,bar-slider,constantSum,3,5.0,15.0,84,20,4.320,YV
9,1,bar-slider,constantSum,4,9.0,13.0,70,43,6.989,LC
9,1,bar-slider,constantSum,5,9.0,15.0,72,39,5.537,LV
9,1,bar-slider,constantSum,6,1.0,5.0,90,12,4.497,HY
9,1,bar-slider,constantSum,7,5.0,7.0,71,41,5.280,YQ
9,1,bar-slider,constantSum,8,13.0,15.0,63,59,4.263,CV
9,1,bar-slider,constantSum,9,3.0,5.0,74,36,4.793,SY
9,1,bar-slider,constantSum,10,5.0,13.0,83,21,4.462,YC
9,1,bar-slider,constantSum,11,3.0,11.0,88,14,5.364,SX
9,1,bar-slider,constantSum,12,7.0,9.0,70,43,5.613,QL
9,1,bar-slider,constantSum,13,3.0,15.0,88,14,6.463,SV
9,1,bar-slider,constantSum,14,7.0,11.0,72,39,6.431,QX
9,1,bar-slider,constantSum,15,5.0,9.0,75,34,6.980,YL
9,1,bar-slider,constantSum,16,9.0,11.0,64,57,3.363,LX
9,1,bar-slider,constantSum,17,11.0,13.0,64,57,5.113,XC
9,1,bar-slider,constantSum,18,3.0,13.0,85,18,7.430,SC
9,1,bar-slider,constantSum,19,1.0,15.0,96,5,6.012,HV
9,1,bar-slider,constantSum,20,1.0,13.0,97,4,5.013,HC
9,1,bar-slider,constantSum,21,5.0,11.0,83,21,6.497,YX
9,1,bar-slider,constantSum,22,7.0,15.0,80,25,6.559,QV
9,1,bar-slider,constantSum,23,1.0,3.0,86,17,4.381,HS
9,1,bar-slider,constantSum,24,1.0,7.0,90,12,5.797,HQ
9,1,bar-slider,constantSum,25,1.0,9.0,91,10,7.750,HL
9,1,bar-slider,constantSum,26,7.0,13.0,74,36,4.380,QC
9,1,bar-slider,constantSum,27,3.0,9.0,82,22,5.197,SL
9,1,bar-slider,constantSum,28,11.0,15.0,71,41,5.819,XV
9,1,sphere-number,ratioPercentage,1,1.2,5.0,91,10,9.551,KR
9,1,sphere-number,ratioPercentage,2,1.8,4.0,84,20,1.910,EB
9,1,sphere-number,ratioPercentage,3,1.8,3.0,69,45,2.562,EP
9,1,sphere-number,ratioPercentage,4,5.0,7.0,63,60,4.538,RM
9,1,sphere-number,ratioPercentage,5,1.8,2.5,61,65,5.077,EG
9,1,sphere-number,ratioPercentage,6,1.2,7.0,96,5,2.161,KM
9,1,sphere-number,ratioPercentage,7,1.8,7.0,91,10,6.112,EM
9,1,sphere-number,ratioPercentage,8,4.0,6.0,69,45,4.216,BW
9,1,sphere-number,ratioPercentage,9,1.2,4.0,96,5,3.308,KB
9,1,sphere-number,ratioPercentage,10,4.0,5.0,59,70,8.903,BR
9,1,sphere-number,ratioPercentage,11,1.2,2.5,80,25,5.914,KG
9,1,sphere-number,ratioPercentage,12,2.5,6.0,87,15,5.524,GW
9,1,sphere-number,ratioPercentage,13,5.0,6.0,59,70,9.963,RW
9,1,sphere-number,ratioPercentage,14,1.2,1.8,59,70,4.801,KE
9,1,sphere-number,ratioPercentage,15,3.0,5.0,72,40,4.764,PR
9,1,sphere-number,ratioPercentage,16,1.2,6.0,96,5,10.099,KW
9,1,sphere-number,ratioPercentage,17,2.5,4.0,69,45,7.057,GB
9,1,sphere-number,ratioPercentage,18,3.0,4.0,63,60,4.613,PB
9,1,sphere-number,ratioPercentage,19,2.5,3.0,56,80,3.410,GP
9,1,sphere-number,ratioPercentage,20,3.0,7.0,87,15,7.031,PM
9,1,sphere-number,ratioPercentage,21,1.2,3.0,87,15,2.662,KP
9,1,sphere-number,ratioPercentage,22,2.5,7.0,87,15,15.510,GM
9,1,sphere-number,ratioPercentage,23,4.0,7.0,80,25,6.758,BM
9,1,sphere-number,ratioPercentage,24,6.0,7.0,56,80,7.154,WM
9,1,sphere-number,ratioPercentage,25,1.8,5.0,91,10,7.597,ER
9,1,sphere-number,ratioPercentage,26,1.8,6.0,96,5,9.240,EW
9,1,sphere-number,ratioPercentage,27,2.5,5.0,84,20,7.832,GR
9,1,sphere-number,ratioPercentage,28,3.0,6.0,84,20,9.283,PW
9,1,bar-number,ratioPercentage,1,3.0,7.0,75,35,4.579,SQ
9,1,bar-number,ratioPercentage,2,1.0,11.0,91,10,3.369,HX
9,1,bar-number,ratioPercentage,3,5.0,15.0,77,30,4.983,YV
9,1,bar-number,ratioPercentage,4,9.0,13.0,59,70,5.986,LC
9,1,bar-number,ratioPercentage,5,9.0,15.0,63,60,1.928,LV
9,1,bar-number,ratioPercentage,6,1.0,5.0,87,15,9.230,HY
9,1,bar-number,ratioPercentage,7,5.0,7.0,59,70,5.649,YQ
9,1,bar-number,ratioPercentage,8,13.0,15.0,55,85,5.493,CV
9,1,bar-number,ratioPercentage,9,3.0,5.0,65,55,1.978,SY
9,1,bar-number,ratioPercentage,10,5.0,13.0,75,35,5.829,YC
9,1,bar-number,ratioPercentage,11,3.0,11.0,80,25,4.977,SX
9,1,bar-number,ratioPercentage,12,7.0,9.0,56,80,7.430,QL
9,1,bar-number,ratioPercentage,13,3.0,15.0,84,20,6.307,SV
9,1,bar-number,ratioPercentage,14,7.0,11.0,61,65,5.207,QX
9,1,bar-number,ratioPercentage,15,5.0,9.0,65,55,5.670,YL
9,1,bar-number,ratioPercentage,16,9.0,11.0,56,80,4.081,LX
9,1,bar-number,ratioPercentage,17,11.0,13.0,53,90,3.449,XC
9,1,bar-number,ratioPercentage,18,3.0,13.0,80,25,3.261,SC
9,1,bar-number,ratioPercentage,19,1.0,15.0,96,5,9.873,HV
9,1,bar-number,ratioPercentage,20,1.0,13.0,91,10,1.745,HC
9,1,bar-number,ratioPercentage,21,5.0,11.0,72,40,2.228,YX
9,1,bar-number,ratioPercentage,22,7.0,15.0,69,45,1.585,QV
9,1,bar-number,ratioPercentage,23,1.0,3.0,75,35,2.628,HS
9,1,bar-number,ratioPercentage,24,1.0,7.0,87,15,3.922,HQ
9,1,bar-number,ratioPercentage,25,1.0,9.0,91,10,5.198,HL
9,1,bar-number,ratioPercentage,26,7.0,13.0,65,55,2.195,QC
9,1,bar-number,ratioPercentage,27,3.0,9.0,75,35,3.094,SL
9,1,bar-number,ratioPercentage,28,11.0,15.0,58,75,8.324,XV
